Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
25330,1.341,0,26,35.2,81.3,280,4.474
11950,0.623,0,25,36.1,80.8,283,4.25
3456,0.061,0,28,35.6,77,3,4.698
3600,0.07700001,0,37,30.9,59.7,158,11.632
12665,0.674,0,37,31.5,61.5,76,15.659
26817,1.391,0,57,38.8,65.3,186,9.395
37483,2.01,0,50,43.3,68.2,279,5.816
43848,2.488,0,45,44.4,72.7,18,6.04
43591,2.47,0,20,33.8,85.8,299,15.435
36481,1.973,0,18,33.6,85.5,288,12.974
24944,1.321,0,19,34.7,84.7,288,12.079
11248,0.6020001,0,22,34.7,83.3,266,4.921
3338,0.055,0,23,30.7,79.5,42,10.066
3587,0.07300001,0,34,36.3,72.7,45,7.829
12073,0.654,0,37,38.8,72.7,43,8.5
19296,1.359,0,40,43.7,77.4,1,8.277
31446,1.977,0,33,44.2,78.8,304,12.527
42729,2.468,0,33,45.7,80.4,317,15.211
42892,2.769,0,32,45.1,80.8,321,16.777
50560,2.868,0,29,44.6,81.9,298,13.422
39149,2.751,0,29,43.3,81.3,302,18.119
33402,2.428,0,27,41.9,81.7,304,16.777
21448,1.924,0,25,39,80.6,307,15.211
17248,1.285,0,24,37.8,79.9,8,14.54
7964,0.576,0,24,36.7,78.6,62,13.869
3962,0.05,0,23,34.9,78.3,130,11.632
4160,0.06900001,0.043,89,44.4,49.6,58,7.382
6644,0.632,0.004,92,45.1,49.1,317,7.606
12659,1.331,0.004,92,46.6,50.5,285,7.382
24921,1.956,0,89,45.5,54.3,252,4.474
31804,2.449,0,72,42.4,58.1,2,7.158
54670,2.768,0,60,40.3,59.4,42,8.053
61635,2.875,0,48,37.6,62.1,315,12.527
48838,2.764,0,46,36.3,63.9,294,10.066
35311,2.437,0,40,35.8,64.4,302,10.29
37132,1.924,0,38,34.3,65.3,273,9.171
25718,1.275,0,33,32,64.4,291,8.5
11294,0.562,0,34,31.6,63.1,290,5.369
3529,0.045,0,42,31.6,60.4,292,3.803
3560,0.06500001,0,52,25.2,46.6,55,22.817
12205,0.641,0,52,25.7,49.8,53,17.448
26727,1.361,0,54,31.5,52.2,229,10.961
38665,1.99,0,56,36.5,55,2,6.711
44663,2.469,0,51,36.7,60.6,19,7.606
43270,2.418,0,28,33.3,75.6,11,7.158
35634,1.909,0,26,33.6,74.8,44,7.606
23980,1.254,0,24,34.2,74.8,357,6.487
10473,0.538,0,42,37,73.9,20,5.369
3486,0.04,0,37,35.1,71.4,51,7.382
18019,2.39,0,35,35.8,70.5,313,6.263
14774,1.879,0,38,35.2,69.3,58,8.5
12126,1.225,0,31,33.6,68.7,60,7.606
7801,0.516,0,40,35.4,68.7,319,4.698
3578,0.035,0,47,37.8,66.9,348,12.974
3277,0.057,0.028,94,43,49.1,298,5.592
6457,0.596,0.024,94,43.7,45.9,268,3.132
7568,1.293,0.024,95,44.6,46.9,286,4.698
8679,1.918,0.047,95,43.2,46,304,8.277
12124,2.409,0.028,89,41.9,47.1,307,8.948
13039,2.715,0.024,89,43.2,48.2,350,7.382
31782,2.394,0,71,42.3,56.5,40,7.382
38921,2.698,0,58,39.4,59,34,8.948
27932,2.803,0,55,39.2,57.9,31,8.053
42699,2.293,0,33,37.6,72.3,47,8.053
34430,1.785,0,29,36.5,72.7,56,6.935
22750,1.135,0,29,35.6,72.9,260,5.816
9068,0.432,0,36,37,71.1,264,2.908
3473,0.019,0,44,38.1,67.6,239,1.79
3524,0.044,0,71,37.6,50.9,47,7.382
9955,0.549,0,73,39.4,50.9,93,3.579
21521,1.244,0,66,41,53.8,314,4.25
31467,1.868,0,69,42.1,57.4,325,5.145
44916,2.347,0,61,43.3,63.9,288,4.698
43124,2.621,0,41,41.2,69.6,193,7.382
42665,2.27,0,40,42.6,70.7,358,9.395
34082,1.746,0,42,45,71.2,277,6.487
22640,1.094,0,41,45.7,70.7,294,6.711
8623,0.404,0,43,43.7,70,300,7.829
